E_tot total_M cv chi temp
-1.99597 0.998664 0.032215 0.00396086 1
-1.99182 0.997277 0.0538879 0.00737441 1.1
-1.9846 0.994868 0.0849352 0.012636 1.2
-1.97519 0.991691 0.116058 0.018928 1.3
-1.96071 0.986927 0.15745 0.0275428 1.4
-1.94419 0.981479 0.193292 0.0360749 1.5
-1.92333 0.974537 0.230866 0.0461135 1.6
-1.89625 0.96554 0.273199 0.0580424 1.7
-1.86875 0.956356 0.304026 0.0684793 1.8
-1.83685 0.945746 0.333928 0.0794145 1.9
-1.80181 0.9342 0.359454 0.0900122 2
-1.76511 0.921955 0.379364 0.100129 2.1
-1.72538 0.908624 0.395678 0.109773 2.2
-1.68642 0.895621 0.404643 0.117574 2.3
-1.6461 0.882465 0.41042 0.124152 2.4
-1.60464 0.868722 0.412937 0.130281 2.5
-1.5634 0.855054 0.411645 0.135288 2.6
-1.52231 0.841521 0.408016 0.139376 2.7
-1.48026 0.82791 0.402357 0.142606 2.8
-1.44063 0.81458 0.394134 0.145288 2.9
-1.40316 0.802466 0.384053 0.146497 3
