N_agents   Lambda   Alpha   Gamma   nu   variance
500  0.000  0.000  0.000  4.77015  0.00742
500  0.500  0.000  0.000  7.03532  0.00333
500  0.000  0.500  0.000  4.44830  0.02681
500  0.500  0.500  0.000  7.30683  0.01221
500  0.000  1.00  0.000  3.85000  0.01732
500  0.500  1.00  0.000  6.40261  0.00451
500  0.000  1.50  0.000  2.92764  0.05983
500  0.500  1.50  0.000  5.68977  0.00224
500  0.000  2.00  0.000  2.22823  0.03974
500  0.500  2.00  0.000  5.33867  0.01018
1000  0.000  0.000  0.000  4.70881  0.00354
1000  0.500  0.000  0.000  6.77579  0.00138
1000  0.000  0.500  0.000  4.81870  0.02937
1000  0.500  0.500  0.000  7.03922  0.00443
1000  0.000  1.00  0.000  4.28409  0.13414
1000  0.500  1.00  0.000  6.02771  0.00136
1000  0.000  1.50  0.000  3.24513  0.06635
1000  0.500  1.50  0.000  6.62630  0.03550
1000  0.000  2.00  0.000  2.21739  0.03629
1000  0.500  2.00  0.000  5.48645  0.01256
