N_agents   Lambda   Alpha   Gamma   nu   variance
1000  0.000  1.00  0.000  4.28409  0.13414
1000  0.000  1.00  1.00  4.95568  0.00581
1000  0.000  1.00  2.00  4.99415  0.01184
1000  0.000  1.00  3.00  5.00581  0.00916
1000  0.000  1.00  4.00  5.18388  0.02809
1000  0.000  2.00  0.000  2.21739  0.03629
1000  0.000  2.00  1.00  2.72858  0.04790
1000  0.000  2.00  2.00  3.36084  0.03321
1000  0.000  2.00  3.00  5.16575  0.01666
1000  0.000  2.00  4.00  5.41894  0.31184
1000  0.500  1.00  0.000  6.02771  0.00136
1000  0.500  1.00  1.00  7.18980  0.00171
1000  0.500  1.00  2.00  7.03551  0.00134
1000  0.500  1.00  3.00  6.86085  0.00153
1000  0.500  1.00  4.00  7.23995  0.00406
1000  0.500  2.00  0.000  5.48645  0.01256
1000  0.500  2.00  1.00  7.12259  0.00299
1000  0.500  2.00  2.00  6.92203  0.00192
1000  0.500  2.00  3.00  7.60978  0.00399
1000  0.500  2.00  4.00  6.74246  0.00120
